15
9999	6.38828	5.6598	9.43519	8.90075	6.07035	8.71583	1.13224	9.69968	1.23913	6.04362	4.69447	1.12404	4.6395	1.35361	
6.38828	9999	7.53793	0.407711	1.2452	4.31945	2.27613	9.58095	0.57776	4.22167	2.3572	9.60494	0.813096	9.22111	0.114679	
5.6598	7.53793	9999	7.85799	1.80211	8.53545	6.85318	8.67756	0.156584	8.33048	1.14439	0.560147	4.01974	8.55215	4.55387	
9.43519	0.407711	7.85799	9999	8.83395	0.671287	1.85252	1.52427	8.89043	4.1409	1.14499	2.23695	7.50453	6.52857	7.78572	
8.90075	1.2452	1.80211	8.83395	9999	4.97869	7.72165	9.95415	6.51855	7.57984	5.63885	2.63627	8.63323	3.55787	3.21747	
6.07035	4.31945	8.53545	0.671287	4.97869	9999	6.27349	0.617539	3.079	6.34516	8.47259	8.81087	4.41905	2.2412	6.90511	
8.71583	2.27613	6.85318	1.85252	7.72165	6.27349	9999	7.98279	5.79159	4.822	8.78263	3.74827	3.12303	2.91351	3.37993	
1.13224	9.58095	8.67756	1.52427	9.95415	0.617539	7.98279	9999	6.7964	3.94018	9.38873	9.9001	9.93289	2.95207	6.30933	
9.69968	0.57776	0.156584	8.89043	6.51855	3.079	5.79159	6.7964	9999	9.45827	4.32491	9.19136	4.05253	2.78172	6.64608	
1.23913	4.22167	8.33048	4.1409	7.57984	6.34516	4.822	3.94018	9.45827	9999	0.645476	9.50169	2.3988	4.15304	5.69806	
6.04362	2.3572	1.14439	1.14499	5.63885	8.47259	8.78263	9.38873	4.32491	0.645476	9999	1.87681	1.91538	8.2986	8.20355	
4.69447	9.60494	0.560147	2.23695	2.63627	8.81087	3.74827	9.9001	9.19136	9.50169	1.87681	9999	9.79746	9.75282	4.51288	
1.12404	0.813096	4.01974	7.50453	8.63323	4.41905	3.12303	9.93289	4.05253	2.3988	1.91538	9.79746	9999	4.86725	0.0864391	
4.6395	9.22111	8.55215	6.52857	3.55787	2.2412	2.91351	2.95207	2.78172	4.15304	8.2986	9.75282	4.86725	9999	0.894476	
1.35361	0.114679	4.55387	7.78572	3.21747	6.90511	3.37993	6.30933	6.64608	5.69806	8.20355	4.51288	0.0864391	0.894476	9999	
