10
9999	2.9296	6.09251	0.749934	9.56152	4.0331	4.90612	2.93173	2.1164	4.36803	
2.9296	9999	4.70024	7.70069	5.45787	0.341209	1.06301	9.1947	9.89342	8.34384	
6.09251	4.70024	9999	7.7514	1.22546	3.36323	2.19657	6.80065	3.81841	2.52148	
0.749934	7.70069	7.7514	9999	5.22678	1.88653	8.84701	8.12217	1.47811	7.34177	
9.56152	5.45787	1.22546	5.22678	9999	9.25239	8.15284	2.1741	9.20563	2.70823	
4.0331	0.341209	3.36323	1.88653	9.25239	9999	7.88714	1.58591	9.31677	4.86634	
4.90612	1.06301	2.19657	8.84701	8.15284	7.88714	9999	1.34086	9.17678	9.72428	
2.93173	9.1947	6.80065	8.12217	2.1741	1.58591	1.34086	9999	2.84245	2.60742	
2.1164	9.89342	3.81841	1.47811	9.20563	9.31677	9.17678	2.84245	9999	1.62113	
4.36803	8.34384	2.52148	7.34177	2.70823	4.86634	9.72428	2.60742	1.62113	9999	
