10
9999	2.31955	3.20472	1.12526	6.09737	8.52088	3.1367	6.14292	4.29698	0.535855	
2.31955	9999	8.03502	7.36029	7.03325	9.79624	7.00137	1.21241	9.39906	3.29855	
3.20472	8.03502	9999	8.3903	0.77028	2.05749	4.00486	3.23599	7.40098	2.77564	
1.12526	7.36029	8.3903	9999	7.43803	2.77929	8.87889	8.60772	6.97039	8.62017	
6.09737	7.03325	0.77028	7.43803	9999	0.52796	8.34384	7.47386	7.83886	1.09337	
8.52088	9.79624	2.05749	2.77929	0.52796	9999	0.808541	1.51819	0.867147	0.228552	
3.1367	7.00137	4.00486	8.87889	8.34384	0.808541	9999	9.37021	6.69103	5.20097	
6.14292	1.21241	3.23599	8.60772	7.47386	1.51819	9.37021	9999	8.30103	8.39273	
4.29698	9.39906	7.40098	6.97039	7.83886	0.867147	6.69103	8.30103	9999	8.87616	
0.535855	3.29855	2.77564	8.62017	1.09337	0.228552	5.20097	8.39273	8.87616	9999	
