50
99999	0.621482	5.08036	8.69116	4.89999	4.2924	9.68457	5.67013	6.66959	5.02719	7.15723	0.395788	3.53435	6.27832	5.14744	9.95347	7.30074	6.19916	2.52885	3.26938	1.69013	0.95685	5.44957	2.70318	0.167074	0.592779	5.7363	1.57199	2.53852	2.05601	8.583	1.1197	9.04193	7.5778	3.4144	0.167376	8.07753	3.31107	4.45314	3.34823	7.19681	6.20853	5.37887	9.86767	3.70143	4.95558	4.31023	9.09239	4.06912	1.93546	
0.621482	99999	2.89836	4.31053	8.35911	1.84814	7.06326	1.86174	9.41114	5.44957	2.45543	6.78198	2.1968	2.53973	1.48528	1.76234	3.62922	2.86724	6.29403	9.96918	8.89389	9.97432	4.30751	0.71756	3.40987	6.35174	9.05614	5.85443	5.97951	3.42951	5.49398	7.8337	4.83413	6.97142	0.60275	6.94725	9.64167	0.895517	8.81292	6.89558	1.97715	7.99776	4.72808	9.35102	7.32219	3.88966	9.28817	4.20811	1.79859	9.93746	
5.08036	2.89836	99999	5.25288	6.57018	5.39851	2.90772	6.54208	8.36757	5.61816	6.70584	7.01462	4.55284	3.85431	3.91685	4.52474	1.3747	6.67835	2.8337	4.03619	8.2718	6.83636	6.58106	7.53036	9.9858	3.7972	2.21614	3.39084	9.54287	9.69907	3.5271	2.60227	9.99668	1.40612	7.99474	5.74627	5.78101	2.13789	0.64807	7.52462	9.97039	5.87618	3.87969	2.00253	0.193359	7.2098	8.94344	6.19977	7.49773	8.23131	
8.69116	4.31053	5.25288	99999	6.00882	5.81485	3.21076	7.73763	7.89413	9.01897	6.09704	2.75001	7.14424	3.20291	5.45501	7.60892	9.08242	0.612116	3.65158	1.85449	1.30521	7.35059	1.4448	0.255296	2.24061	2.69381	1.8841	7.68626	9.64227	0.790072	4.64137	2.72493	1.54359	4.48909	7.16841	9.66916	8.54251	2.57628	4.32564	6.83727	4.03559	8.25307	2.87993	8.06151	7.4793	3.0455	2.91951	5.82996	8.69539	1.77261	
4.89999	8.35911	6.57018	6.00882	99999	2.182	4.0942	9.29452	3.76518	5.04078	7.39078	7.0397	6.36111	3.05063	6.19796	1.42062	4.26944	7.79594	3.37724	4.66251	2.33428	3.9377	2.81527	7.73974	4.88065	2.21161	5.12387	4.41416	9.18031	0.868325	0.803366	3.07903	5.82089	5.60366	5.73811	0.715143	3.61169	5.58009	0.721186	7.14696	2.61103	6.08103	7.98145	4.80935	2.20889	5.4967	8.00713	1.5022	7.45392	7.29077	
4.2924	1.84814	5.39851	5.81485	2.182	99999	8.84011	1.95419	1.74814	4.14013	0.840529	6.16472	7.50952	5.0991	0.182785	8.84948	4.91902	3.38056	3.19596	8.96036	8.55459	5.10786	5.30485	3.60052	2.72856	6.72337	5.6798	5.00664	5.63025	1.81249	2.86059	5.42298	2.69261	4.03257	1.45597	7.7334	9.37912	8.49447	5.48432	7.0817	3.81654	6.99559	8.56154	1.74119	9.26672	9.15161	5.99643	7.56873	7.46057	6.62004	
9.68457	7.06326	2.90772	3.21076	4.0942	8.84011	99999	9.3057	5.79914	2.39198	0.767412	8.99964	6.41912	4.69394	1.27258	4.7601	8.37754	8.68784	7.11674	9.25977	9.16339	9.43894	6.15354	6.13511	3.42014	3.20261	4.70874	5.9771	4.31718	8.6966	4.60692	2.64154	7.55302	3.07722	8.36788	3.44401	1.00942	8.06695	9.57369	4.8447	9.23137	2.30255	9.55224	7.98809	8.44855	4.25131	7.47477	5.0997	8.22225	1.76959	
5.67013	1.86174	6.54208	7.73763	9.29452	1.95419	9.3057	99999	5.00967	1.40582	6.72306	3.34521	2.33881	3.58057	6.8276	5.90398	6.87141	9.68306	7.94338	5.71635	1.76294	0.892496	2.34213	5.68886	4.48123	9.60149	9.71962	6.97262	4.11293	6.77352	0.551085	7.47628	6.66626	9.83292	9.27549	5.11571	6.75902	5.4825	0.762578	8.58481	6.04145	9.52384	8.90326	3.98302	5.6526	6.57592	1.87987	8.78422	3.9528	2.663	
6.66959	9.41114	8.36757	7.89413	3.76518	1.74814	5.79914	5.00967	99999	2.85092	3.07752	6.03601	2.87147	9.71086	8.17089	6.95873	8.4416	5.05378	3.48419	4.69424	3.89933	5.91365	1.32515	4.74832	8.79419	8.796	0.173116	3.14067	6.23995	7.2808	7.36238	8.6966	1.0345	7.01462	0.29397	2.24243	9.65194	7.46178	7.16659	2.55936	7.17566	3.94162	8.05305	7.98266	9.68367	9.02018	5.61393	3.30231	0.333851	8.17874	
5.02719	5.44957	5.61816	9.01897	5.04078	4.14013	2.39198	1.40582	2.85092	99999	5.87951	8.75793	6.37561	7.23186	0.983438	4.37065	5.62783	7.21494	1.18315	3.41863	9.25041	4.81751	0.15529	9.29422	9.25736	2.57779	9.99305	0.842039	8.88513	8.1159	0.395788	7.13064	2.47537	6.62457	7.18653	0.943556	4.1794	4.69091	7.03124	8.54795	2.04604	0.968935	1.70916	6.6285	6.10339	1.57894	7.80712	3.94072	7.58777	5.04804	
