20
9999	8.65327	1.3114	0.269242	3.3693	7.80606	6.83921	6.07278	3.86092	5.89483	3.33164	6.32785	8.57645	1.52032	7.99069	4.93588	3.46677	9.04438	6.36307	4.14059	
8.65327	9999	0.675234	0.089172	4.70418	7.87833	4.85814	5.81497	7.97216	9.44279	6.65793	8.39638	3.35715	2.33534	6.12136	1.36211	4.3902	8.39273	4.18918	6.42107	
1.3114	0.675234	9999	6.6804	2.8546	4.85419	8.52968	9.83117	9.07202	5.91184	4.78283	6.3324	3.71426	1.00228	9.48499	2.42583	4.67564	0.716228	2.02257	1.59623	
0.269242	0.089172	6.6804	9999	2.4398	5.91457	8.15406	5.72873	7.60231	0.732019	2.83486	4.39324	4.66228	7.86922	4.29485	7.28924	5.18093	4.98719	7.68733	0.764814	
3.3693	4.70418	2.8546	2.4398	9999	0.368538	3.51597	8.61805	2.84397	6.19667	9.08538	3.68844	8.1246	1.09975	5.68986	9.39876	6.9294	9.05926	1.20269	6.4481	
7.80606	7.87833	4.85419	5.91457	0.368538	9999	9.3778	8.73921	7.69128	9.98421	0.0572878	1.0624	4.10476	3.67933	2.71066	5.44663	3.5357	7.84402	1.5185	8.64112	
6.83921	4.85814	8.52968	8.15406	3.51597	9.3778	9999	3.97753	9.49805	7.84857	4.53444	4.4731	4.71512	9.0951	9.56972	4.88395	0.561969	8.88071	3.08993	2.02409	
6.07278	5.81497	9.83117	5.72873	8.61805	8.73921	3.97753	9999	8.03988	4.69781	5.60423	9.83329	2.70793	2.80662	5.48884	6.88719	3.79594	6.02206	6.82038	8.07146	
3.86092	7.97216	9.07202	7.60231	2.84397	7.69128	9.49805	8.03988	9999	9.67873	4.55053	8.35417	4.51227	0.224604	5.01817	7.24247	8.39243	2.59588	8.44193	6.65823	
5.89483	9.44279	5.91184	0.732019	6.19667	9.98421	7.84857	4.69781	9.67873	9999	6.44597	3.14884	2.13675	1.51758	9.01311	0.526745	5.66861	1.06847	8.39182	2.48595	
3.33164	6.65793	4.78283	2.83486	9.08538	0.0572878	4.53444	5.60423	4.55053	6.44597	9999	6.98649	2.83455	3.52234	2.84458	7.94635	6.53768	4.24293	9.75525	5.41475	
6.32785	8.39638	6.3324	4.39324	3.68844	1.0624	4.4731	9.83329	8.35417	3.14884	6.98649	9999	2.38392	2.9958	2.47988	7.75808	2.43646	6.33149	7.27739	2.45711	
8.57645	3.35715	3.71426	4.66228	8.1246	4.10476	4.71512	2.70793	4.51227	2.13675	2.83455	2.38392	9999	9.66415	4.62979	0.421375	4.51015	3.33134	2.24606	8.07085	
1.52032	2.33534	1.00228	7.86922	1.09975	3.67933	9.0951	2.80662	0.224604	1.51758	3.52234	2.9958	9.66415	9999	1.85222	4.47978	6.39405	1.55433	7.06119	1.65484	
7.99069	6.12136	9.48499	4.29485	5.68986	2.71066	9.56972	5.48884	5.01817	9.01311	2.84458	2.47988	4.62979	1.85222	9999	7.42163	7.53854	1.72863	9.58581	8.00314	
4.93588	1.36211	2.42583	7.28924	9.39876	5.44663	4.88395	6.88719	7.24247	0.526745	7.94635	7.75808	0.421375	4.47978	7.42163	9999	1.79725	2.6639	1.1705	4.54173	
3.46677	4.3902	4.67564	5.18093	6.9294	3.5357	0.561969	3.79594	8.39243	5.66861	6.53768	2.43646	4.51015	6.39405	7.53854	1.79725	9999	6.04909	6.45933	5.37223	
9.04438	8.39273	0.716228	4.98719	9.05926	7.84402	8.88071	6.02206	2.59588	1.06847	4.24293	6.33149	3.33134	1.55433	1.72863	2.6639	6.04909	9999	8.15891	6.32967	
6.36307	4.18918	2.02257	7.68733	1.20269	1.5185	3.08993	6.82038	8.44193	8.39182	9.75525	7.27739	2.24606	7.06119	9.58581	1.1705	6.45933	8.15891	9999	1.78268	
4.14059	6.42107	1.59623	0.764814	6.4481	8.64112	2.02409	8.07146	6.65823	2.48595	5.41475	2.45711	8.07085	1.65484	8.00314	4.54173	5.37223	6.32967	1.78268	9999	
