10
9999	8.62017	3.48226	1.80515	1.47416	4.38079	7.56253	3.91437	6.68617	9.2618	
8.62017	9999	4.77099	5.28539	7.58955	9.63318	9.6678	6.39587	4.60337	3.65899	
3.48226	4.77099	9999	4.62068	5.18973	4.58211	3.54755	8.9214	9.87003	8.55306	
1.80515	5.28539	4.62068	9999	3.92803	0.770583	5.53864	8.56946	2.48686	0.893869	
1.47416	7.58955	5.18973	3.92803	9999	3.09692	6.42715	4.7634	4.66835	5.30118	
4.38079	9.63318	4.58211	0.770583	3.09692	9999	2.31621	9.68753	1.87985	8.4398	
7.56253	9.6678	3.54755	5.53864	6.42715	2.31621	9999	5.95739	7.26403	9.79047	
3.91437	6.39587	8.9214	8.56946	4.7634	9.68753	5.95739	9999	3.87519	8.34627	
6.68617	4.60337	9.87003	2.48686	4.66835	1.87985	7.26403	3.87519	9999	4.88152	
9.2618	3.65899	8.55306	0.893869	5.30118	8.4398	9.79047	8.34627	4.88152	9999	
